iter	Passed	Remaining
474	1469	1624
475	1473	1622
476	1475	1617
477	1477	1613
478	1479	1608
479	1480	1604
480	1482	1599
481	1484	1595
482	1488	1592
483	1489	1588
484	1491	1584
485	1493	1580
486	1495	1575
487	1497	1571
488	1499	1567
489	1504	1565
490	1506	1561
491	1508	1557
492	1510	1553
493	1512	1549
494	1514	1545
495	1518	1543
496	1521	1539
497	1523	1535
498	1525	1531
499	1527	1527
500	1532	1526
501	1535	1523
502	1537	1519
503	1540	1515
504	1542	1511
505	1544	1507
506	1549	1506
507	1552	1503
508	1554	1499
509	1557	1495
510	1559	1491
511	1563	1490
512	1565	1486
513	1567	1482
514	1569	1478
515	1571	1474
516	1573	1469
517	1576	1467
518	1578	1463
519	1580	1458
520	1581	1454
521	1583	1449
522	1585	1445
523	1586	1441
524	1588	1436
525	1591	1434
526	1593	1430
527	1595	1426
528	1597	1421
529	1598	1417
530	1600	1413
531	1602	1409
532	1603	1405
533	1607	1402
534	1609	1398
535	1610	1394
536	1612	1390
537	1614	1386
538	1616	1382
539	1617	1378
540	1622	1376
541	1624	1372
542	1626	1368
543	1628	1364
544	1629	1360
545	1631	1356
546	1633	1352
547	1637	1350
548	1640	1347
549	1642	1344
550	1645	1340
551	1647	1337
552	1651	1335
553	1653	1331
554	1656	1327
555	1658	1324
556	1660	1320
557	1663	1317
558	1666	1314
559	1669	1311
560	1672	1308
561	1675	1305
562	1681	1305
563	1684	1302
564	1686	1298
565	1688	1294
566	1690	1291
567	1695	1289
568	1697	1285
569	1699	1281
570	1701	1278
571	1703	1274
572	1705	1270
573	1709	1268
574	1711	1265
575	1714	1261
576	1715	1257
577	1717	1253
578	1718	1249
579	1720	1245
580	1724	1243
581	1726	1240
582	1728	1236
583	1730	1232
584	1732	1228
585	1733	1224
586	1735	1221
587	1739	1219
588	1742	1215
589	1744	1212
590	1747	1209
591	1749	1205
592	1751	1202
593	1754	1199
594	1757	1195
595	1759	1192
596	1761	1188
597	1763	1185
598	1765	1181
599	1769	1179
600	1771	1175
601	1773	1172
602	1776	1169
603	1778	1166
604	1780	1162
605	1784	1160
606	1786	1156
607	1788	1153
608	1791	1149
609	1793	1146
610	1797	1144
611	1800	1141
612	1802	1138
613	1805	1134
614	1807	1131
615	1811	1129
616	1813	1125
617	1815	1122
618	1818	1119
619	1820	1115
620	1822	1112
621	1826	1110
622	1829	1107
623	1832	1104
624	1835	1101
625	1838	1098
626	1842	1095
627	1844	1092
628	1846	1089
629	1848	1085
630	1851	1082
631	1857	1081
632	1860	1078
633	1863	1075
634	1865	1072
635	1868	1069
636	1873	1067
637	1875	1064
638	1877	1060
639	1880	1057
640	1882	1054
641	1886	1052
642	1889	1048
643	1891	1045
644	1894	1042
645	1896	1039
646	1900	1036
647	1902	1033
648	1905	1030
649	1907	1027
650	1910	1024
651	1912	1020
652	1917	1018
653	1919	1015
654	1922	1012
655	1924	1009
656	1927	1006
657	1931	1003
658	1933	1000
659	1935	997
660	1938	994
661	1940	990
662	1943	987
663	1946	984
664	1948	981
665	1951	978
666	1954	975
667	1956	972
668	1960	969
669	1962	966
670	1964	963
671	1967	960
672	1969	956
673	1972	954
674	1975	951
675	1977	947
676	1979	944
677	1982	941
678	1984	938
679	1989	936
680	1991	933
681	1994	929
682	1996	926
683	1998	923
684	2003	921
685	2005	917
686	2007	914
687	2010	911
688	2012	908
689	2016	906
690	2019	903
691	2022	900
692	2024	896
693	2027	893
694	2032	891
695	2034	888
696	2036	885
697	2038	882
698	2041	879
699	2043	875
700	2047	873
701	2049	869
702	2051	866
703	2052	863
704	2054	859
705	2056	856
706	2058	853
707	2062	850
708	2064	847
709	2066	844
710	2068	840
711	2070	837
712	2072	834
713	2076	831
714	2079	828
715	2081	825
716	2083	822
717	2086	819
718	2091	817
719	2094	814
720	2097	811
721	2099	808
722	2102	805
723	2107	803
724	2109	800
725	2112	797
726	2114	794
727	2116	790
728	2120	788
729	2123	785
730	2124	781
731	2126	778
732	2128	775
733	2130	772
734	2132	768
735	2137	766
736	2138	763
737	2140	759
738	2142	756
739	2144	753
740	2146	750
741	2149	747
742	2152	744
743	2154	741
744	2156	738
745	2158	734
746	2160	731
747	2162	728
748	2166	725
749	2168	722
750	2170	719
751	2172	716
752	2174	713
753	2175	709
754	2177	706
755	2180	703
756	2182	700
757	2185	697
758	2187	694
759	2189	691
760	2191	688
761	2195	685
762	2197	682
763	2200	679
764	2203	676
765	2205	673
766	2207	670
767	2209	667
768	2211	664
769	2213	661
770	2215	658
771	2217	655
772	2219	651
773	2223	649
774	2225	646
775	2227	643
776	2230	640
777	2232	637
778	2235	634
779	2238	631
780	2240	628
781	2242	625
782	2244	622
783	2246	619
784	2248	615
785	2253	613
786	2255	610
787	2257	607
788	2259	604
789	2261	601
790	2263	597
791	2265	594
792	2269	592
793	2271	589
794	2273	586
795	2274	583
796	2276	579
797	2278	576
798	2283	574
799	2285	571
800	2287	568
801	2289	565
802	2290	562
803	2292	558
804	2294	555
805	2299	553
806	2302	550
807	2304	547
808	2307	544
809	2309	541
810	2313	539
811	2315	536
812	2317	533
813	2319	529
814	2321	526
815	2323	523
816	2325	520
817	2328	517
818	2330	514
819	2332	511
820	2334	509
821	2336	506
822	2338	502
823	2342	500
824	2344	497
825	2346	494
826	2348	491
827	2350	488
828	2352	485
829	2354	482
830	2357	479
831	2359	476
832	2361	473
833	2363	470
834	2365	467
835	2367	464
836	2371	461
837	2373	458
838	2375	455
839	2377	452
840	2379	449
841	2381	446
842	2385	444
843	2388	441
844	2390	438
845	2393	435
846	2395	432
847	2397	429
848	2400	427
849	2402	424
850	2404	421
851	2406	418
852	2408	415
853	2410	412
854	2414	409
855	2416	406
856	2419	403
857	2420	400
858	2422	397
859	2424	394
860	2426	391
861	2430	389
862	2433	386
863	2435	383
864	2437	380
865	2438	377
866	2440	374
867	2444	371
868	2446	368
869	2448	365
870	2450	362
871	2452	359
872	2454	357
873	2456	354
874	2460	351
875	2462	348
876	2465	345
877	2468	342
878	2470	340
879	2476	337
880	2479	334
881	2481	332
882	2484	329
883	2487	326
884	2490	323
885	2492	320
886	2495	317
887	2497	315
888	2499	312
889	2504	309
890	2506	306
891	2508	303
892	2509	300
893	2512	297
894	2514	294
895	2516	292
896	2519	289
897	2521	286
898	2522	283
899	2524	280
900	2526	277
901	2528	274
902	2533	272
903	2535	269
904	2537	266
905	2539	263
906	2541	260
907	2543	257
908	2545	254
909	2548	252
910	2550	249
911	2552	246
912	2554	243
913	2556	240
914	2557	237
915	2561	234
916	2564	232
917	2566	229
918	2568	226
919	2570	223
920	2572	220
921	2573	217
922	2578	215
923	2581	212
924	2583	209
925	2585	206
926	2587	203
927	2591	201
928	2593	198
929	2595	195
930	2597	192
931	2599	189
932	2602	186
933	2605	184
934	2607	181
935	2609	178
936	2611	175
937	2613	172
938	2615	169
939	2617	167
940	2622	164
941	2624	161
942	2625	158
943	2627	155
944	2629	153
945	2631	150
946	2636	147
947	2638	144
948	2639	141
949	2641	139
950	2643	136
951	2645	133
952	2647	130
953	2651	127
954	2653	125
955	2656	122
956	2658	119
957	2661	116
958	2667	114
959	2670	111
960	2673	108
961	2676	105
962	2679	102
963	2682	100
964	2684	97
965	2686	94
966	2689	91
967	2691	88
968	2696	86
969	2698	83
970	2700	80
971	2703	77
972	2705	75
973	2710	72
974	2712	69
975	2715	66
976	2717	63
977	2719	61
978	2722	58
979	2725	55
980	2727	52
981	2730	50
982	2732	47
983	2735	44
984	2739	41
985	2741	38
986	2744	36
987	2746	33
988	2748	30
989	2753	27
990	2755	25
991	2757	22
992	2760	19
993	2762	16
994	2764	13
995	2769	11
996	2772	8
997	2774	5
998	2777	2
999	2780	0
